Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
300,0.273676,-1.08337,-0.209039
301,-0.0154275,-1.08288,-0.141765
302,-0.181462,-1.06287,0.187592
303,0.299962,0.0183707,-0.0549395
304,-0.167031,-1.08123,0.0272141
305,-0.0986363,-1.07501,-0.191827
306,-0.127035,-1.08488,0.300817
307,0.481189,-0.971247,-0.0337241
308,-0.1291,-1.08421,0.0198843
309,0.325458,0.0171592,-0.325599
310,0.0219831,-1.08211,-0.0543645
311,-0.103322,-1.08507,0.108529
312,-0.0346857,-1.06882,0.136187
313,0.429579,-1.0834,0.0654918
314,0.155265,-1.08396,0.195949
315,0.11694,-1.08465,-0.104167
316,0.482662,-0.7261,0.302756
317,-0.456876,-0.573809,0.180561
318,-0.170119,-1.08023,-0.12771
319,-0.413177,0.0174786,-0.33191
320,0.163939,-1.08139,-0.331168
321,0.0957285,-1.07299,-0.000549713
322,-0.103317,-1.08343,0.0399759
323,0.349925,-0.548029,0.219484
324,-0.302307,-1.08509,0.158038
325,0.0504696,-1.06984,0.216839
326,-0.154437,-1.05954,0.294048
327,-0.440849,-0.835988,-0.231866
328,0.220983,0.0156093,0.38431
329,0.127181,-1.06089,-0.355827
330,0.219232,0.0186615,0.159894
331,-0.135826,-1.08468,0.3487
332,-0.480512,-0.791137,0.245735
333,-0.459801,-0.999698,0.358848
334,0.0326986,-1.0792,-0.287462
335,0.282779,0.0166597,0.16786
336,0.214344,0.0158494,0.0383214
337,0.406775,0.0191282,-0.165798
338,0.266131,0.0171282,-0.0418202
339,0.298892,-0.521712,0.375912
340,0.0534262,-1.05645,0.345434
341,0.438907,0.0170765,0.165044
342,0.472971,-1.04845,0.236034
343,-0.485086,-1.08502,-0.160608
344,-0.226677,-1.08284,0.259214
345,0.119553,-1.05709,-0.170007
346,-0.267428,0.0178222,-0.120006
347,-0.244803,0.019195,0.38077
348,0.372588,-1.08133,-0.179598
349,-0.135115,-1.08461,-0.125644
350,0.196984,-1.05425,-0.382575
351,0.243666,0.0160305,-0.25634
352,-0.355266,0.0188587,-0.0512766
353,-0.485205,-1.05485,0.146471
354,-0.414101,-0.513312,-0.21345
355,-0.101048,-1.07611,0.163524
356,0.190839,-1.06153,0.334558
357,0.282839,0.0357028,0.285538
358,-0.0373742,-1.08092,-0.351486
359,-0.0723231,-1.08499,-0.24426
360,-0.162496,-1.08522,-0.0404915
361,0.178592,-1.08453,-0.222827
362,0.290196,-1.08075,-0.340703
363,0.148587,-1.08178,0.288206
364,-0.078551,-1.08479,0.0897369
365,-0.457128,-1.08298,-0.0421722
366,-0.248148,-0.435577,0.0878698
367,-0.231025,-1.08031,-0.16077
368,0.432865,-1.0849,-0.0704119
369,0.174598,-1.08298,0.113549
370,0.247342,-1.08305,0.251925
371,-0.143772,-1.04997,0.19185
372,-0.247484,-1.08038,0.0325394
373,0.365048,0.0174121,0.101459
374,-0.23493,0.0196265,-0.238221
375,0.178506,-1.05483,-0.178929
376,-0.0401333,-1.08129,-0.201019
377,-0.303096,0.0182265,-0.277954
378,-0.0384502,-1.06657,-0.086773
379,-0.346279,0.0157201,0.182872
380,-0.0640317,-1.08388,-0.0818193
381,-0.0128761,-1.06234,0.0887331
382,0.456095,-1.03239,0.0397427
383,0.265356,-1.05755,-0.190831
384,0.0798064,-1.08303,0.225002
385,0.357117,0.0162473,-0.308761
386,0.398292,0.0167551,0.112759
387,-0.011643,-1.07123,-0.328955
388,-0.304059,0.0195828,0.135652
389,0.1943,-0.331857,-0.206819
390,-0.169007,-1.07226,0.383432
391,-0.221297,-1.0849,0.209046
392,-0.301869,0.0167069,-0.110697
393,-0.197442,-1.0844,-0.343138
394,0.0470129,-1.07121,-0.227228
395,0.453328,-0.991883,0.168427
396,-0.152588,-1.08373,-0.350275
397,-0.289794,0.016098,0.0734039
398,0.305876,0.0164655,0.191694
399,-0.0132003,-1.06173,-0.174613
400,-0.0133693,-1.08326,0.264378
401,0.277899,0.0187163,0.350602
402,-0.345098,-1.08394,-0.224828
403,-0.196546,-1.0823,0.231825
404,-0.139961,-1.08226,0.0930199
405,-0.0604273,-1.08346,0.280511
406,-0.23287,-1.08423,-0.0540617
407,0.482939,-1.05195,0.0361838
408,-0.0517201,-1.05296,-0.373344
409,-0.385101,-1.08157,-0.0920752
410,0.292487,0.0164761,-0.301923
411,-0.170477,-0.440244,0.00345535
412,0.250777,-1.08303,-0.349533
413,0.0980577,-1.08396,0.0421619
414,-0.218006,-1.07002,0.179769
415,0.128746,-1.0838,-0.332972
416,0.013118,-1.06022,-0.210331
417,-0.250303,0.0160597,0.0721511
418,-0.19902,-1.08436,0.378334
419,0.0226712,-1.08088,-0.321786
420,0.297149,0.0473025,0.237788
421,0.156803,-1.06496,0.010286
422,0.24248,0.0176458,0.330665
423,0.0958693,-1.08453,-0.0727739
424,0.48005,-1.08007,0.00688509
425,0.106775,-1.06398,-0.12411
426,-0.32385,-1.07093,0.0668969
427,0.334002,-1.0835,-0.16668
428,0.0478295,-1.04954,-0.0587954
429,0.0484653,-1.07128,0.274194
430,0.463564,-1.0844,-0.0707281
431,-0.482489,-1.0825,-0.371759
432,0.344544,-1.08503,0.219434
433,0.22923,0.0162368,-0.135708
434,0.30505,-0.445212,-0.112047
435,-0.317367,0.0194015,-0.0399535
436,-0.0821403,-1.05523,0.107558
437,-0.244324,-0.434763,-0.167637
438,0.2005,-1.08516,-0.355616
439,0.350967,0.0156914,0.163082
440,0.0698861,-1.06523,0.0486446
441,0.237359,-1.08312,-0.0321855
442,0.242656,0.0156098,-0.208851
443,0.197589,-1.08306,0.149903
444,-0.279155,-1.08455,-0.00415463
445,-0.13434,-1.08296,-0.0610624
446,0.107351,-1.06055,0.309626
447,-0.0527053,-1.05764,-0.297167
448,-0.339385,-0.537117,-0.243527
449,0.0447706,-1.05534,-0.172901
450,-0.196424,-0.371159,-0.310236
451,-0.245718,0.0185619,0.289707
452,-0.271299,0.0158044,-0.0316355
453,0.293799,-0.817849,0.373735
454,0.0206462,-1.05507,-0.249407
455,-0.0675732,-1.05501,-0.148641
456,-0.334459,-1.08175,-0.185105
457,0.23887,0.0157427,-0.353724
458,0.412068,0.0151595,0.0104724
459,-0.0788335,-1.05021,0.382251
460,-0.274413,0.0150991,0.117296
461,-0.472751,-1.08074,-0.128998
462,-0.453165,-1.05352,0.155535
